name,author,publisher,family,location
大学英语教师隐性课程及其对教学行为和决策的影响研究,胡萍萍,浙江大学出版社,文学,五楼D区
英语语言文学经典阅读教程,"刁克利,陈世丹",中国人民大学出版社,文学,五楼D区
英语阅读中的批判性思维研究,"刘富利,王颖,周玉芳",科学出版社,文学,五楼D区
劳伦斯诗选,劳伦斯,外语教学与研究出版社,文学,五楼D区
阅读法国80篇,梅耶尔,上海译文出版社,文学,五楼D区
新日汉拟声拟态词词典,郭华江,上海译文出版社,文学,五楼D区
精品葡萄酒入门,葡萄酒艺术编辑部,辽宁科学技术出版社,杂志,二楼C区
肝移植,"布苏蒂尔,克林特马尔姆",上海科学技术出版社,杂志,二楼C区
磁共振伪影与假象,"沙琳,赵一平",科学出版社,杂志,二楼C区
科学速读：脑内新世界：Inside the most complicated object in the known universe,新科学家杂志,人民邮电出版社,杂志,二楼C区
浮出社会地表：“十七年”女性媒介形象研究,韩敏,中国社会科学出版社,杂志,二楼C区
新日汉拟声拟态词词典,郭华江,上海译文出版社,杂志,二楼C区
邓小平的最后岁月,"余玮,吴志菲",天地出版社,杂志,二楼C区
轴心时代的中国思想：先秦诸子研究,李梅,商务印书馆,杂志,二楼C区
短篇小说写作指南,美国作家文摘杂志社,湖南文艺出版社,杂志,二楼C区
区块链将如何改变世界：党政干部一本书读懂区块链,本书编写组编,东方出版社,杂志,二楼C区
愿你不为世界所累，活得更像自己,鲁西西,四川人民出版社,杂志,二楼C区
习近平新时代中国特色社会主义外交思想研究,张宇燕,中国社会科学出版社,杂志,二楼C区
值得珍藏的历史记忆：从“一五”计划到“十二五”规划重大事件点滴回顾,朱永旗,中国市场出版社,杂志,二楼C区
现代建筑口述史：20世纪最伟大的建筑师访谈：interviews with the greatest architects of the twentieth century,彼得,中国建筑工业出版社,杂志,二楼C区
走近读脑时代,"《环球科学》杂志社,外语教学与研究出版社",外语教学与研究出版社,杂志,二楼C区
深度沟通：快速掌控谈话,德维托,北京联合出版公司,杂志,二楼C区
物理学咬文嚼字,"曹则贤,",中国科学技术大学出版社,杂志,二楼C区
